Lbc_km,Y0,ed,N,mu,nu,omega,p_mu,p_nu,p_omega,key_rate
20,3.4140160192072927e-06,0.016369316044104538,481156462572,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012175080656830789
20,5.980675662697349e-08,0.012669120820529128,416616580309,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012976288487136677
20,2.245927677177968e-06,0.009549690891183911,806097949844,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013695030610892745
20,5.625305567436229e-07,0.018621693277930028,1044112808093,0.8,0.2,0.02,0.85,0.0075,0.1425,0.01170971757511018
20,7.006700163436132e-08,0.01633706306235836,2974924762819,0.8,0.2,0.02,0.85,0.0075,0.1425,0.0121820097770539
20,5.643116602388943e-08,0.018646193839523602,85337890693799,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01170476104374351
20,2.6955767882876437e-06,0.01853248925659374,174016439035,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.011727764010664488
20,1.547017565099169e-06,0.0184825743195199,5444220764808,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.011737988782864375
20,2.608724076192531e-07,0.006510518121025487,545365099354,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014446916402591036
20,6.802380487917361e-07,0.01869516579856847,73523381178202,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.011694776932922674
20,2.697921627822632e-07,0.017979648916574602,110146129698,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.011840891225897007
20,2.600659419586935e-06,0.01323048955753384,11380643013,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012851397095969825
20,1.4424941455201684e-06,0.010982353133364032,19924154858915,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.013359241006559986
20,1.0103215201632328e-06,0.005017142289716424,942565340032,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014841663494468946
20,4.006898363043667e-06,0.008658663153306979,199902143507,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013909364567415811
20,4.087085248476758e-06,0.007866006372535858,1862271352320,0.8,0.2,0.02,0.85,0.0075,0.1425,0.014104058557776593
20,5.1981377712900276e-08,0.01951310375435215,16319914423476,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.011529553827832013
20,2.2075406744836355e-07,0.006206687278288031,190641926780,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014525649800868057
20,3.3405803914481547e-07,0.0189925073634036,27304321169,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.011634507517088073
20,4.506109471480937e-07,0.015598421148003343,1547973940760,0.8,0.2,0.02,0.85,0.0075,0.1425,0.012338143474457513
20,2.7758793738285736e-06,0.01310425410455486,71672769099583,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.012879344127711684
20,6.449957958744643e-07,0.013814255962631545,602498687407,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.01272300983130308
20,6.149794231059338e-07,0.010773517189589906,2007261970996,0.8,0.2,0.02,0.85,0.0075,0.1425,0.013407582946577781
20,7.429994755441553e-08,0.007840869928315342,55836490413,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.01411039758803282
20,6.891591705177909e-07,0.01484989083484443,805608366837,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.01249823530264146
20,1.8598292923933116e-08,0.016364058829496552,32142635493046,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.012176338617360567
20,5.890376405192097e-06,0.017636903347102734,39146459130386,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.011911126666395398
20,5.878240077815514e-06,0.013108998874220817,367438112042,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012878175164152374
20,1.305720430581963e-06,0.009134511819681907,17640660179797,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01379438783336656
20,3.535557425426003e-06,0.01842558451140013,2286676529215,0.8,0.2,0.02,0.85,0.0075,0.1425,0.011749507263707541
20,7.0679687341734895e-06,0.013695425161184088,634238244692,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012748802272936177
20,9.566126858917324e-07,0.01994386759030359,46533409217266,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.011443201183603733
20,2.398696229075215e-06,0.006235594822949711,2825741436703,0.8,0.2,0.02,0.85,0.0075,0.1425,0.014518081836254547
20,2.879602924165332e-07,0.014452210106172092,24005474936136,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.012584104324310473
20,5.359285164080653e-08,0.015972338311862715,29412854382,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012258891367695021
20,4.585446287322606e-08,0.016918744575658638,213867403526,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012060272338046525
20,2.803750019431881e-06,0.006509112803241443,38497626583,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014447224886334882
20,1.2388305896533936e-06,0.005678511017984185,1974531866737,0.8,0.2,0.02,0.85,0.0075,0.1425,0.014664349228442968
20,5.370912091328962e-06,0.013012969523910858,5276628638676,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.012899500217966275
20,1.2025146721070278e-08,0.014524998648671874,2662892724009,0.8,0.2,0.02,0.85,0.0075,0.1425,0.012568359744815785
20,5.343906416594209e-07,0.010868141139842403,302384664003,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013385668223688738
20,8.74077521978973e-06,0.005545880564172287,12205232011,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014699433391126289
20,7.640008481746412e-06,0.007774579120961575,31302617735,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.01412668615681611
20,4.2828171162321427e-08,0.017011198855312715,55959861967855,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.012041020014173967
20,1.1704361502585664e-08,0.011384282479502256,25468353984,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013266877087108397
20,6.022262328666594e-08,0.00831243906974476,3869927949162,0.8,0.2,0.02,0.85,0.0075,0.1425,0.013994025281291685
20,1.1242992014227755e-07,0.007704768522945318,1034060671379,0.8,0.2,0.02,0.85,0.0075,0.1425,0.014144252367609822
20,1.3126112473058101e-08,0.006513818617834499,89730604781042,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.014446070478833084
20,3.963395129949624e-08,0.010378329519674028,8440986873471,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.013499606722037434
20,3.2732539119025833e-06,0.018777230929929972,47610026629,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.011677982702773215
20,1.0421295021382714e-06,0.019498233545647746,17068830877,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.011532490510653148
20,1.0680838611838699e-06,0.017681368905524245,234018485458,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.011902191469365817
20,5.650176543575517e-08,0.013951870902041166,587835939590,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012692939051448552
20,3.345480118915612e-08,0.01207438122644432,436135644982,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013109914200207629
20,5.097276807404545e-07,0.012629001950939498,176109994697,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012985239430653356
20,1.1788404994716278e-07,0.017564917615534685,100862716176,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.011926255323087354
20,4.806186913182954e-07,0.005186544782439716,9253318473694,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.014795850561561259
20,1.0180044194928605e-07,0.00568544740352625,132902348959,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.01466253307519777
20,5.252804331153059e-08,0.019296940097416983,256390687007,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.011573049631575096
20,7.305227487444038e-08,0.010388017958806194,61322992895465,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.013497340863883465
20,7.96605969874104e-07,0.01431615268428001,7285802613818,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.012613586102614354
20,1.4589879531324327e-07,0.01121626982415871,4011727717307,0.8,0.2,0.02,0.85,0.0075,0.1425,0.01330541064596375
20,1.010584576038765e-08,0.007884643118670136,217573883034,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014099536509518375
20,5.226944401304844e-08,0.014560991016939504,327033529344,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.01256057418105257
20,4.22931638743337e-06,0.013522271313652877,454595975605,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012786960380107251
20,1.6099086185492588e-07,0.015527444359005133,470875628808,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012353255362519511
20,9.69588971306948e-07,0.005701695289351974,604517334681,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014658213680021164
20,5.993503597490571e-08,0.007365298581834663,1289117549279,0.8,0.2,0.02,0.85,0.0075,0.1425,0.014229244454239454
20,2.895988301728627e-07,0.013421073884216404,10518142952586,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01280940138044816
20,4.483585569869219e-06,0.0124187400556293,177105882223,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.01303220285559052
20,2.5158034367247333e-07,0.017135687860405435,31627533609817,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.012015128330677957
20,2.736810939258659e-06,0.00782001941076242,99467553875173,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.014115510438152654
20,7.929873872363343e-07,0.006252005752635939,7983942892019,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.014513846724291474
20,9.129866782448299e-06,0.011027252333188152,5176783719107,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.013348628236332467
20,8.882422188052124e-08,0.008202869930970441,7401105129934,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.014020937394859769
20,1.016418811371681e-08,0.017340971157971237,1298326457897,0.8,0.2,0.02,0.85,0.0075,0.1425,0.011972563142884269
20,1.9649568843527794e-08,0.006783558421771188,3954227932182,0.8,0.2,0.02,0.85,0.0075,0.1425,0.014376793724888703
20,4.177933006006541e-06,0.009199741149903087,82046629931647,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.013778637213217709
20,1.997754268116465e-08,0.017809071643960072,386175492710,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.011875949061394102
20,1.7540269033245464e-08,0.009120707651288931,648504119603,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013797743121860061
20,2.3824543809704268e-06,0.017920398554558542,34172929987,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.01185295222288236
20,3.652553494564277e-07,0.014761748572246058,244462392841,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.01251722885337141
20,4.126591764661257e-06,0.009176147228245408,11865807820,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.01378430380494328
20,1.3243104957020443e-08,0.015214951551668649,1711681451077,0.8,0.2,0.02,0.85,0.0075,0.1425,0.012419942158222178
20,6.91047121843438e-06,0.01907658199602378,43591790692441,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01161716976699096
20,1.3366373602881775e-08,0.016237022350862947,6387034622712,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.012203057388683509
20,9.248804383723394e-07,0.015685364787743624,40816954985343,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.012319649620207294
20,8.325754473200453e-07,0.01058673894458384,1418127030066,0.8,0.2,0.02,0.85,0.0075,0.1425,0.013450965530638397
20,4.2027379446162516e-08,0.013806882570427153,10853962785,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012724648022452933
20,2.838373357127156e-08,0.010001125820447996,14404315847558,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01358815272034061
20,1.430534276763631e-06,0.01007383955040018,3034956238280,0.8,0.2,0.02,0.85,0.0075,0.1425,0.01357098450981348
